epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6598,1.86687,4.26289,1.17419,0.00956,0.01786,0.00695,0.00317,1.98875,4.59589,1.25481,1.25e-05,1.25e-05,1.25e-05
2,41.1675,2.06053,4.30813,1.41701,0.06328,0.1338,0.04348,0.0137,1.8881,3.75531,1.22795,3.71287e-05,3.71287e-05,3.71287e-05
3,57.5632,1.97516,3.23481,1.39458,0.96214,0.11957,0.19614,0.07428,1.8717,2.62578,1.21924,6.12625e-05,6.12625e-05,6.12625e-05
4,79.3934,2.23347,2.61873,1.28329,0.91679,0.46424,0.48367,0.29081,1.78607,1.91476,1.18644,8.49012e-05,8.49012e-05,8.49012e-05
5,111.808,1.7578,2.66897,1.14532,0.91285,0.41848,0.52704,0.31717,1.69184,1.89729,1.14302,0.000108045,0.000108045,0.000108045
6,131.661,1.86043,2.0328,1.30872,0.7289,0.48815,0.55742,0.33159,1.6399,1.68534,1.09299,0.000130694,0.000130694,0.000130694
7,151.437,1.98791,1.82933,1.17046,0.76075,0.57822,0.60834,0.35164,1.64264,1.46662,1.0874,0.000152847,0.000152847,0.000152847
8,167.596,2.09453,1.80014,1.17311,0.80935,0.56828,0.63399,0.3733,1.71095,1.56132,1.09826,0.000174506,0.000174506,0.000174506
9,184.46,1.7678,1.61773,1.34255,0.41364,0.66106,0.55962,0.3246,1.80654,1.70635,1.13201,0.00019567,0.00019567,0.00019567
10,201.513,1.61439,1.4808,1.06776,0.67822,0.75969,0.67063,0.38505,1.6814,1.57235,1.10659,0.000216339,0.000216339,0.000216339
11,218.284,1.61436,1.28168,1.06205,0.65536,0.85539,0.69607,0.40964,1.60241,1.48299,1.09343,0.000236513,0.000236513,0.000236513
12,234.706,1.80633,2.32338,1.08316,0.65441,0.76061,0.67503,0.38222,1.6216,1.44995,1.09306,0.000256191,0.000256191,0.000256191
13,251.069,1.72762,1.45604,1.15453,0.60783,0.81056,0.67075,0.38272,1.65518,1.43249,1.08838,0.000275375,0.000275375,0.000275375
14,267.685,1.62516,1.31122,1.01069,0.79801,0.56775,0.61283,0.3316,1.71098,1.37208,1.10201,0.000294064,0.000294064,0.000294064
15,284.046,1.72991,1.36688,1.14608,0.47503,0.90347,0.66086,0.38363,1.67142,1.3655,1.0868,0.000312257,0.000312257,0.000312257
16,300.935,1.90285,1.57624,1.19843,0.49969,0.9029,0.71624,0.41083,1.61731,1.34222,1.07502,0.000329956,0.000329956,0.000329956
17,317.628,1.66853,1.53686,0.98479,0.63984,0.84938,0.75703,0.43118,1.63812,1.47758,1.08143,0.00034716,0.00034716,0.00034716
18,334.738,2.54336,4.11538,1.9842,0.56278,0.89994,0.75139,0.42035,1.67153,1.47298,1.09481,0.000363869,0.000363869,0.000363869
19,351.059,1.74187,1.41374,1.07135,0.57568,0.87572,0.88535,0.43838,1.74339,1.43004,1.13581,0.000380083,0.000380083,0.000380083
20,367.503,1.44596,1.09409,1.06531,0.71659,0.82082,0.90202,0.46271,1.71687,1.36251,1.13868,0.000395801,0.000395801,0.000395801
21,384.67,1.62588,1.06431,1.177,0.70712,0.95106,0.89963,0.48612,1.68864,1.23677,1.13784,0.000411025,0.000411025,0.000411025
22,401.451,0.74258,4.09462,0.537,0.60957,0.96429,0.77557,0.47225,1.69475,1.42183,1.13871,0.000425754,0.000425754,0.000425754
23,417.653,1.50902,1.04046,1.06064,0.6161,0.94643,0.75876,0.47007,1.6945,1.76507,1.13566,0.000439988,0.000439988,0.000439988
24,433.741,1.4763,1.01673,1.05917,0.60132,0.91481,0.74597,0.46162,1.66821,2.04353,1.11776,0.000453726,0.000453726,0.000453726
25,450.625,1.66698,1.12291,0.9954,0.66314,0.60233,0.66069,0.40897,1.77939,2.97396,1.12937,0.00046697,0.00046697,0.00046697
